Age,BuildingType,PrimaryPropertyType,NumberofBuildings,NumberofFloors,LargestPropertyUseType,SteamUse(kBtu)_Usage,Electricity(kBtu)_Usage,NaturalGas(kBtu)_Usage,TotalUseTypeNumber,RateParking,RateBuilding,RatePerFloors,RatePerBuildings,log_SiteEnergyUse(kBtu),log_TotalGHGEmissions,log_PropertyGFATotal
7,NonResidential,Office,1.0,36,Office,0,1,0,2,0.1879,0.8121,22913.5278,824887.0,17.49241492103089,5.622355475960472,13.623002898525167
26,NonResidential,Office,1.0,16,Office,0,1,1,5,0.2945,0.7055,30052.5,480840.0,16.698466161822605,4.880754373241736,13.083291933109898
116,NonResidential,Office,1.0,7,Office,1,1,0,3,0.0,1.0,12792.8571,89550.0,15.177322851515134,3.964046033495298,11.402563574372348
116,NonResidential,Office,1.0,6,Office,0,1,1,2,0.0,1.0,14892.5,89355.0,15.245399346857221,3.49559805708364,11.400383669983814
94,NonResidential,Office,1.0,15,Office,1,1,0,1,0.0,1.0,25928.9333,388934.0,16.737429485188862,5.367050204229129,12.871167513522957
87,NonResidential,Office,1.0,22,Office,0,1,0,3,0.0,1.0,17468.2727,384302.0,16.12431993981979,4.264790324535862,12.859186582923714
58,NonResidential,Office,1.0,17,Office,1,1,0,2,0.2235,0.7765,22266.1765,378525.0,17.03062463632767,6.847442483542804,12.844040041706515
33,NonResidential,Office,1.0,47,Office,0,1,1,3,0.0,1.0,28150.1064,1323055.0,17.615118467035916,5.768227241398966,14.095454770243615
30,NonResidential,Office,1.0,41,Office,0,1,0,3,0.2194,0.7806,14388.3171,589921.0,17.018396056274597,5.150513171779642,13.287745603752434
66,NonResidential,Office,1.0,6,Office,1,1,0,2,0.0153,0.9847,15181.8333,91091.0,14.422994112001684,3.861992071822581,11.419625263804768
48,NonResidential,Office,1.0,8,Office,0,1,0,2,0.3988,0.6012,19742.625,157941.0,15.135459299460559,3.299533727885655,11.969983156007993
25,NonResidential,Office,1.0,29,Office,1,1,0,2,0.3105,0.6895,21907.0,635303.0,16.718097681344997,4.946772100429302,13.3618589034728
36,NonResidential,Office,1.0,34,Office,0,1,1,2,0.2093,0.7907,22845.9412,776762.0,17.29836254749056,5.448115731636431,13.562890563516916
44,NonResidential,Office,1.0,14,Office,1,1,0,3,0.1273,0.8727,13340.5714,186768.0,16.08153995947803,5.391488897435831,12.137627838114382
47,NonResidential,Office,1.0,49,Office,0,1,1,5,0.3284,0.6716,22927.2449,1123435.0,17.62579556736921,6.443924558074251,13.931902404142951
14,NonResidential,Office,1.0,37,Office,0,1,0,11,0.1562,0.8438,28445.1081,1052469.0,17.53427849297948,5.664070974419973,13.866650340569494
43,NonResidential,Office,1.0,42,Office,1,1,0,4,0.2777,0.7223,14706.7619,617684.0,18.05712229150682,6.3056363967697555,13.333733897756307
109,NonResidential,Office,1.0,8,Office,1,1,0,3,0.0,1.0,25185.0,201480.0,16.00400592413267,5.175867206791472,12.213450363119058
26,Nonresidential COS,Office,1.0,2,Office,0,1,0,2,0.1178,0.8822,677493.5,1354987.0,17.93578574660908,6.0644129186132485,14.119303156168161
15,Nonresidential COS,Office,1.0,14,Office,0,1,1,3,0.0,1.0,22177.8571,310490.0,16.868072166217612,5.943770032495302,12.645910194428335
13,Nonresidential COS,Office,1.0,8,Office,0,1,1,4,0.1537,0.8463,24941.25,199530.0,16.39681898851312,5.702481628923153,12.203724891711696
10,NonResidential,Office,1.0,13,Office,0,1,1,2,0.1416,0.8584,28634.0,372242.0,16.44335287664124,5.381002733166644,12.827302145802625
38,NonResidential,Retail,1.0,2,Retail,0,1,1,1,0.0,1.0,44600.0,89200.0,15.681439830767783,4.50501830403765,11.398647529267592
45,NonResidential,Office,1.0,23,Office,0,1,0,1,0.0,1.0,20632.4348,474546.0,17.16367407869984,5.29501190953931,13.070115943760129
47,NonResidential,Other,1.0,5,Industrial,0,1,0,1,0.0,1.0,7200.0,36000.0,17.21799015057585,5.3490580082512205,10.491301994830229
55,NonResidential,Office,1.0,5,Office,0,1,1,1,0.0,1.0,19801.0,99005.0,15.369116364857888,4.787741711537254,11.50293573334086
14,NonResidential,Office,1.0,6,Office,0,1,0,2,0.3276,0.6724,22508.5,135051.0,15.30303775257093,3.4613513044819024,11.813415168440983
14,NonResidential,Office,1.0,5,Office,0,1,0,2,0.3749,0.6251,44129.8,220649.0,15.768019813512101,3.9144201300278674,12.304333014697693
52,NonResidential,Other,1.0,5,Other,0,1,0,1,0.0,1.0,18732.0,93660.0,13.679946100062391,1.958685340544036,11.447437159597042
36,NonResidential,Office,1.0,18,Office,0,1,0,2,0.1563,0.8437,22984.1667,413715.0,17.002891133687264,5.13509230544507,12.932935027070254
16,NonResidential,Other,1.0,11,Parking,0,1,1,3,0.5129,0.4871,34671.0,381381.0,16.094394791418274,4.2961963780686885,12.85155677648835
28,NonResidential,Office,1.0,20,Office,0,1,1,2,0.2387,0.7613,24875.65,497513.0,17.104778450987062,5.289226166536256,13.11737897588836
37,NonResidential,Office,1.0,24,Office,0,1,0,2,0.2146,0.7854,22661.5,543876.0,17.046621033332812,5.178576164935488,13.206478397331779
36,NonResidential,Other,1.0,4,Industrial,0,1,1,3,0.3539,0.6461,27336.75,109347.0,15.921856471807077,4.52320062312084,11.602290736042818
34,NonResidential,Office,1.0,6,Office,0,1,0,2,0.3132,0.6868,66104.3333,396626.0,16.82913967337022,4.9624949187683205,12.890751571419269
14,NonResidential,Office,1.0,6,Office,0,1,0,4,0.2908,0.7092,47911.8333,287471.0,16.517772371964202,4.653674595047707,12.568880743172354
69,NonResidential,Office,1.0,3,Office,0,1,1,2,0.2518,0.7482,64210.0,192630.0,15.494070346897155,3.8507856959569566,12.168531720742111
32,NonResidential,Office,1.0,8,Office,0,1,0,4,0.2449,0.7551,31637.875,253103.0,17.21501480708614,5.346107030383885,12.441555750438361
60,NonResidential,Retail,1.0,1,Retail,0,1,1,1,0.0,1.0,60880.0,60880.0,16.47534853785584,5.953944387194059,11.016676418156251
116,NonResidential,Office,1.0,5,Office,0,1,1,3,0.0,1.0,10035.2,50176.0,14.891635132715399,3.2546289945740186,10.823312033358421
104,NonResidential,Office,1.0,42,Office,1,1,1,4,0.0,1.0,7246.3333,304346.0,16.962342218024094,6.609753474123501,12.62592377680104
